,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5
1,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
2,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
3,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5
4,5,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
5,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
6,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
7,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
8,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1
9,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
10,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
11,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
12,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
13,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
14,5,0,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1
15,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
16,2,0,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
17,5,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,1
18,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,3,5
19,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5
20,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
21,5,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1
22,0,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
23,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
24,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
25,2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1
26,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
27,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
28,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,5,5
29,5,2,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
30,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
31,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5
32,5,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
33,5,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4
34,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
35,5,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
36,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
37,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,5
38,5,0,9,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
39,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
40,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
41,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
42,5,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
43,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
